,id,title,original_language,overview,release_date,adult,poster_path,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
17,4413,The Brave One,en,A woman struggles to recover from a brutal attack by setting out on a mission for revenge.,2007-09-12,False,9UZ07Rie56aJwPeYPzDDsSyqoc5.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18,35552,The Extraordinary Adventures of Adèle Blanc-Sec,fr,"An adventure set in the early part of the 20th century, focused on a popular novelist and her dealings with would-be suitors, the cops, monsters, and other distractions.",2010-04-09,False,1nYv7H0XJFgrJ5LewGlyNDvjqdq.jpg,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
19,64694,"It's Not You, It's Me",es,"Javier se ha casado con María, el amor de su vida, y ahora lo único que desea es estar feliz con ella el resto de su vida, pero el destino se la quita poco después de la boda. Ahora Javier está enredado en sus emociones: ¿cómo aceptará la muerte de su mujer para encontrar nuevamente el amor?",2010-08-27,False,bE1ifeGhr7gkJP9z8lAFGkEhlv6.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20,467632,Bad Samaritan,en,"A thief makes a disturbing discovery in the house where he breaks in. Later, when he returns to the same house with his partner in crime, things are no longer how he expected.",2018-04-19,False,ojCu9SLxAPwhhC2tXtHNdrTmxCH.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21,350650,Doraemon: Nobita and the Space Heroes,ja,"One day Doraemon, Nobita, Shizuka, Gian and Suneo were shooting a film as space heroes. When they were shooting the film in the open lot a boy called Aron comes and alerts them of aliens attacking his planet. They agree to help him by turning into real superheroes, but it isn't as easy as it looks.",2015-03-07,False,bD9wR8bmZ9umrPx8IhBQ0GzGHFu.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
22,158015,The Purge,en,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",2013-05-31,False,x6hwbnR2nGacSzljqYaXY25w1Me.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
23,20391,Paint Your Wagon,en,"A Michigan farmer and a prospector form a partnership in the California gold country. Their adventures include buying and sharing a wife, hijacking a stage, kidnapping six prostitutes, and turning their mining camp into a boom town. Along the way there is plenty of drinking, gambling, and singing. They even find time to do some creative gold mining.",1969-10-15,False,z6CiMBUdBLDwzcaklFv3ahaDFkh.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,544401,Cherry,en,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",2021-02-26,False,pwDvkDyaHEU9V7cApQhbcSJMG1w.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,12531,The Apartment,fr,"Max is a former playboy who has decided to settle down by marrying his current love, Muriel. However, when Max catches a glimpse of the great lost love of his life, he becomes obsessed with rekindling their relationship.",1996-07-27,False,8EWKKGnAQPdTXhr2aRde1aLwPQn.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
26,136,Freaks,en,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932-02-12,False,idK9v05lDtXm67bylUhQyvVlZM6.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27,287590,Saint Seiya: Legend of Sanctuary,ja,"Warriors called ""Saints"" are the champions of hope who have always appeared since the Age of Myth whenever evil threatens the world. In this present day story, many years since the long fought ""Holy War"" we find Saori Kido, a girl troubled by her mysterious powers. She is saved by a boy, Seiya ""Bronze Saint"" from a sudden attack by an assassin, through the accident Saori realizes her destiny and mission and decides to go to ""Sanctuary"" with Seiya and his company of Bronze Saints. In Sanctuary they confront ""Pope"" and wage a desperate battle against the greatest Saints, the ""Gold Saints"".",2014-06-21,False,gxKfP9278RK4t3J8vLXoFfB8ihl.jpg,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,512895,Lady and the Tramp,en,"The love story between a pampered Cocker Spaniel named Lady and a streetwise mongrel named Tramp. Lady finds herself out on the street after her owners have a baby and is saved from a pack by Tramp, who tries to show her to live her life footloose and collar-free.",2019-11-12,False,8wBEye516IKul9sW7JKGcFXVGfV.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29,779029,The Battle at Lake Changjin,zh,"Korean War, winter 1950. In the frozen and snowy area of Changjin Lake, a bloody battle is about to begin between the elite troops of the United States and China.",2021-09-30,False,5q22mBfsFVvtxscYI52dicYchuK.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30,900667,One Piece Film Red,ja,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.",2022-08-06,False,xtn8fnJrmaNA4zd4VYARO51syxd.jpg,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,505914,A.I. Rising,en,"On a lonely mission to Alpha Centauri, Milutin is teamed up with Nimani 1345, a female cyborg designed to fulfill his every need. At first thrilled to be able to control her, Sebastian grows tired of having his desires fulfilled so easily. Longing for human intimacy, Sebastian alters Nimani's programmed responses, but in doing so he risks the mission's security — and his own life.",2018-02-25,False,aXosp6MFBxYi4m6ZmE4u1auReHc.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
32,1081866,How to Fix the World,fi,"How to Fix the World? is a comprehensive and informative documentary about direct action in the 1990s and 2000s, directed by Jouko Aaltonen. In the documentary, anarchists, climate activists, and squatters openly describe their experiences and link them to mainstream phenomena in society. A wide range of archive material sheds a light on the history of direct action and activism in the Finnish society.",2023-03-28,False,c7ZDkpb34lKPWDuQgpELovcq9VW.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,964943,Marvel Studios Assembled: The Making of Moon Knight,en,"Join the likes of Oscar Isaac and Ethan Hawke as they reveal how Marvel Studios' Moon Knight was painstakingly brought to life. Through insightful interviews with cast and crew, along with immersive footage from the set, and a  candid ""roundtable discussion"" with the series' directors, this ""making-of"" pulls back the curtain on the groundbreaking series of Marvel Studios' newest hero.",2022-05-25,False,dM6Y4uLzeF4rqbmKBzR0wAsTxby.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,369552,L.O.R.D: Legend of Ravaging Dynasties,zh,"Based on the novel of the same name, the film depicts the endless battles of four kingdoms as they fight for power and domination of the one ultimate realm.Based on his 2 beloved fantasy novels with 6 million copies sold, L.O.R.D is acclaimed writer and director Guo Jingming’s follow up to his Tiny Times films.  The action-adventure odyssey is set in a world of warring Sorcerers, Lords and Beasts. The first CGI Film to come from China",2016-09-29,False,qIUDi1XDAREkarkwNzOOBgUzqyC.jpg,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
35,414420,My Student's Mom,ko,"Gyeong-soo and Jeong-min used to be the happiest couple in the world. However, Jeong-min is left home alone after her husband leaves to the regional area for a lengthy business trip. While she tries to deal with her lonely feelings, her son’s tutor Min-hyeok starts flirting with her hard. And although Jeong-min knows she shouldn’t, she starts being attracted to Min-hyeok more and more. Meanwhile, Gyeong-soo finds his place in a boarding house in the regional district and starts getting attracted to the owner of the board house, who is a single mother with a young daughter.",2016-08-11,False,bcQtBkJtPHCs3VA1AOJ6T11BaBB.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,177572,Big Hero 6,en,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",2014-10-24,False,2mxS4wUimwlLmI1xp6QW6NSU361.jpg,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,10380,An American Tail: Fievel Goes West,en,"Some time after the Mousekewitz's have settled in America, they find that they are still having problems with the threat of cats. That makes them eager to try another home out in the west, where they are promised that mice and cats live in peace. Unfortunately, the one making this claim is an oily con artist named Cat R. Waul who is intent on his own sinister plan.",1991-11-21,False,cImuS7FE9MHT5vnwIHGx1Ryh0K1.jpg,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38,190847,The Last Days on Mars,en,"On the last day of the first manned mission to Mars, a crew member of Tantalus Base believes he has made an astounding discovery – fossilized evidence of bacterial life. Unwilling to let the relief crew claim all the glory, he disobeys orders to pack up and goes out on an unauthorized expedition to collect further samples. But a routine excavation turns to disaster when the porous ground collapses and he falls into a deep crevice. His devastated colleagues attempt to recover his body. However, when another vanishes, they start to suspect that the life-form they have discovered is not without danger.",2013-08-11,False,kxcQkAhpn8cvJTsU8PXblI5Qq8F.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
39,26422,The Pillow Book,en,A woman with a body writing fetish seeks to find a combined lover and calligrapher.,1996-10-11,False,gQlv9t0522IBEOctwJph92amVyG.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
40,10693,Peter Pan,en,"Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good.",1953-02-05,False,fJJOs1iyrhKfZceANxoPxPwNGF1.jpg,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,38780,Rampage,en,"The boredom of small town life is eating Bill Williamson alive. Feeling constrained and claustrophobic in the meaningless drudgery of everyday life and helpless against overwhelming global dissolution, Bill begins a descent into madness. His shockingly violent plan will shake the very foundations of society by painting the streets red with blood.",2009-09-27,False,a6N8QCsdWxAQvdob3oCHcsVyLvc.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,556678,Emma.,en,"In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends.",2020-02-13,False,uHpHzbHLSsVmAuuGuQSpyVDZmDc.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,916192,"The Tunnel to Summer, the Exit of Goodbyes",ja,"Tono Kaoru heard a rumor: The laws of space and time mean nothing to the Urashima Tunnel. If you find it, walk through and you'll find your heart's desire on the other side...in exchange for years of your own life. On the night Kaoru just so happens to find himself standing in front of a tunnel that looks suspiciously like the one the rumor describes, he finds himself thinking of Karen, the sister he lost in an accident five years ago. To Kaoru's surprise, he's been followed by the new transfer student Anzu Hanaki, who promises to help him experiment with the mysterious tunnel--but what does she want from Kaoru in exchange? And what will he have left to give, after the tunnel's done with him?",2022-09-09,False,3x5gc6dHsfNqZryipu159IALEPH.jpg,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
44,743227,Wish Upon a Unicorn,en,"Two children discover that their mother is gone. The youngest of the pair, adventurer and upcomming singer, Long Johnson forces his older sister, Lily Johnson, to hunt down a unicorn with magical blood.",2020-09-15,False,9juXj68arIv7A20X7FAiJlJGSJd.jpg,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
45,13466,October Sky,en,"Based on the true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes, and eventually became a NASA scientist.",1999-02-19,False,vjRSVHAqQo6t7faNVQj3WNSJWUv.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
46,924423,The Town of Ghosts,zh,"Yan Yangyi and Bao Hulu strayed into the strange Underworld Town, where they can only enter but cannot leave. Anyone who leaves without authorization will die mysteriously. Although Yan Yangyi doesn't believe in the horror legends all over Yin-Yang Town, he frequently encounters strange things. Will he be able to survive time after time? What was even more unexpected to Yan Yangyi and Bao Hulu was that under the curse, the spooky town has an amazing secret behind it...",2022-01-08,False,w3p2ZKtYYZvWzrAWhyEfh1PLGEQ.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
47,10060,Get Rich or Die Tryin',en,"A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.",2005-11-09,False,aaEJu8vFKtrAoSRtw3xjCf1aM5d.jpg,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
48,135309,Lake Placid: The Final Chapter,en,"Black Lake is now a crocodile sanctuary, surrounded by an electric fence. When the fence is left open, a high-school bus unknowingly enters the park. It's up to Reba and the Sheriff to save the kids from becoming crocodile food.",2012-09-29,False,AiKZELy3QivFVVSuHOAJtYNAwaS.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
49,437109,The Villainess,ko,A young girl is raised as a killer in the Yanbian province of China. She hides her identity and travels to South Korea where she hopes to lead a quiet life but becomes involved with two mysterious men.,2017-06-08,False,5igv2DsGx1JbmwJnq2uKucJpLOS.jpg,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50,17897,The Golden Voyage of Sinbad,en,"Sinbad and his crew intercept a homunculus carrying a golden tablet. Koura, the creator of the homunculus and practitioner of evil magic, wants the tablet back and pursues Sinbad. Meanwhile Sinbad meets the Vizier who has another part of the interlocking golden map, and they mount a quest across the seas to solve the riddle of the map.",1973-12-20,False,z3ldjIJEknEotbm3O8oUkMVnagh.jpg,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
51,38575,The Karate Kid,en,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",2010-06-10,False,o4gwFcm6qRgnC9Gff4giy0POHdF.jpg,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
52,936,The Pink Panther,en,"The trademark of The Phantom, a renowned jewel thief, is a glove left at the scene of the crime. Inspector Clouseau, an expert on The Phantom's exploits, feels sure that he knows where The Phantom will strike next and leaves Paris for the Tyrolean Alps, where the famous Lugashi jewel 'The Pink Panther' is going to be. However, he does not know who The Phantom really is, or for that matter who anyone else really is...",1963-12-18,False,aCjJ0sKayks2uL7MJBzdp2i67NI.jpg,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,467988,Camp Cool Kids,en,"Encouraged by his quirky grandfather, a young boy faces his fears at summer camp.",2017-07-11,False,zuXKqVrP7gWPuNoo0vT5bWJcpTu.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,1955,The Elephant Man,en,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",1980-10-09,False,rk2lKgEtjF9HO9N2UFMRc2cMGdj.jpg,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
55,1032412,Snow Day,en,"A pair of siblings make the most of a school snow day, while trying to avoid their nemesis, the Snowplowman.",2022-12-16,False,dnwf2DyI41EkWvJnOLfWV6DFRNW.jpg,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
56,376866,Jackie,en,"An account of the days of First Lady, Jacqueline Kennedy, in the immediate aftermath of John F. Kennedy's assassination in 1963.",2016-12-02,False,nF9N33PfhizMEzbfxHoxXBo2vx9.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,11236,The Secret Garden,en,"A young British girl born and reared in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's castle. Her uncle is very distant due to the loss of his wife ten years before. Neglected once again, she begins exploring the estate and discovers a garden that has been locked and neglected. Aided by one of the servants' boys, she begins restoring the garden, and eventually discovers some other secrets of the manor.",1993-08-13,False,xvTK4KSFeHNl1QVzjYgOtHL2QYS.jpg,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
58,1656,The Legend of Zorro,en,"Having spent the last 10 years fighting injustice and cruelty, Alejandro de la Vega is now facing his greatest challenge: his loving wife Elena has thrown him out of the house!  Elena has filed for divorce and found comfort in the arms of Count Armand, a dashing French aristocrat.  But Alejandro knows something she doesn't: Armand is the evil mastermind behind a terrorist plot to destroy the United States.  And so, with his marriage and the county's future at stake, it's up to Zorro to save two unions before it's too late.",2005-10-24,False,duZDsuIA2uX93Vujtm89oHeTFqE.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,8338,Blindness,en,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.",2008-05-14,False,deBsx5IxyqCC217j3VY24TkkE0Z.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
60,581387,Ashfall,ko,A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.,2019-12-19,False,gCZ0RHifBxZGedde7WPWSgjpyZt.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,15370,The Cat Returns,ja,"Young Haru rescues a cat from being run over, but soon learns it's no ordinary feline; it happens to be the Prince of the Cats.",2002-07-19,False,avPMO5cnaGHgLaNiAIhy33WoQLm.jpg,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
62,453133,My Brother's Wife 3: The Woman Downstairs,ko,"My sister and I moved into a new house. We didn't do much but the woman downstairs came up to ask us to keep it down.  She said she was sensitive so we decided to keep it down.  Her gangster husband would beat her when he came home drunk.  Every time I heard her suffer from the beatings, I couldn't stand it and would stomp the floor to create a distraction.  She would come up telling us to be quiet.  I told her I did it intentionally. I also decided to do something about the woman who showed interest in me by memorizing my number.",2017-01-14,False,ixuiZPoETFR3HCC6YcqsmfaohHl.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,11937,The Gods Must Be Crazy II,en,"Xixo is back again. This time, his children accidentally stow away on a fast-moving poachers' truck, unable to get off, and Xixo sets out to rescue them. Along the way, he encounters a couple of soldiers trying to capture each other and a pilot and passenger of a small plane, who are each having a few problems of their own.",1989-07-01,False,ldb5M9LOawvaqvY7NSfsB66QLki.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,581,Dances with Wolves,en,"Wounded Civil War soldier, John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",1990-03-30,False,cvaBVpS0GzKqBd63pFT8f1E8OKv.jpg,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
65,503706,The Haunting of Sharon Tate,en,"Pregnant with director Roman Polanski's child and awaiting his return from Europe, 26-year-old Hollywood actress Sharon Tate becomes plagued by visions of her imminent death.",2019-04-05,False,qzIQjfKmrTKf25y3N3VU88bFn8H.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
66,987337,The Wonderful Summer of Mickey Mouse,en,Mickey Mouse and his friends each recall the wild events leading up to the Annual Summer Fireworks Spectacular from their point-of-view.,2022-07-08,False,9sdmCWZlLwFF4GbohSQxlD24g6m.jpg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,46929,Fun and Fancy Free,en,"Jiminy Cricket hosts two Disney animated shorts: “Bongo,” about a circus bear escaping to the wild, and “Mickey and the Beanstalk,” a take on the famous fairy tale.",1947-09-27,False,lmc6Ge5GuSj7sLkkLHyuZpuI8Ii.jpg,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
68,450001,Master Z: Ip Man Legacy,cn,"Following his defeat by Master Ip, Cheung Tin Chi tries to make a life with his young son in Hong Kong, waiting tables at a bar that caters to expats. But it's not long before the mix of foreigners, money, and triad leaders draw him once again to the fight.",2018-12-20,False,6VxEvOF7QDovsG6ro9OVyjH07LF.jpg,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,681260,Maya the Bee: The Golden Orb,en,"When Maya, a headstrong little bee, and her best friend Willi, rescue an ant princess they find themselves in the middle of an epic bug battle that will take them to strange new worlds and test their friendship to its limits.",2021-01-07,False,tMS2qcbhbkFpcwLnbUE9o9IK4HH.jpg,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
